"","facility_name","facility_type_display","maternal_health_delivery_services","emergency_transport","skilled_birth_attendant","num_chews_fulltime","phcn_electricity","c_section_yn","child_health_measles_immun_calc","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","date_of_survey","facility_id","community","ward","management","improved_water_supply","improved_sanitation","vaccines_fridge_freezer","antenatal_care_yn","family_planning_yn","malaria_treatment_artemisinin","sector","formhub_photo_id","gps","survey_id","state","lga","new","another","latitude","longitude"
"1","Magami PHC","Primary Health Centre (PHC)",FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-02-27","HOVFH","Magami","Manta","public",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"health","1393515058460.jpg","9.61060403 6.51811742 286.70001220703125 5.0","7ad86cd8-56f9-40a0-bd9c-5157490ac58e","niger","shiroro",NA,NA,9.61060403,6.51811742
"2","PHC forin Doki","Primary Health Centre (PHC)",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,"2014-02-27","GLEYK","Farin Doki","Erena","public",FALSE,FALSE,NA,NA,NA,NA,"health","1325460391623.jpg","10.0515149 6.76963721 331.6000061035156 5.0","e591b6d9-7613-4afa-b8cc-3e336a599e10","niger","shiroro",NA,NA,10.0515149,6.76963721
"3","PHC Ali Bakin kogi","Primary Health Centre (PHC)",FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-02-27","HENDH","Ali Bakin kogi","Erena","public",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"health","1393396546186.jpg","10.01634997 6.72705365 292.20001220703125 5.0","e7fa3b02-5a6a-4c6a-a90d-3ac94987c28a","niger","shiroro",NA,NA,10.01634997,6.72705365
"4","PHCC jiko","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-02-27","HQSPO","Jiko","Manta","public",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1393420790325.jpg","9.87061292 6.42261409 217.5 10.0","116fc692-a762-46dd-aa85-db8380137b09","niger","shiroro",NA,NA,9.87061292,6.42261409
"5","Kukoki PHC","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,0,0,"2014-02-27","BMJLI","Kukoki","Bassa/kukoki","public",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"health","1393324416735.jpg","10.12484025 6.44115372 373.3999938964844 5.0","a8ef927b-52f5-42fb-8960-7f15d6152f0b","niger","shiroro",NA,NA,10.12484025,6.44115372
"6","PHCC Manta","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-02-27","HEQHP","Manta","Manta","public",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1393419229742.jpg","9.86661321 6.43302796 222.10000610351563 5.0","1722bb71-9d7f-4c00-ad61-fd6837edb16e","niger","shiroro",NA,NA,9.86661321,6.43302796
"7","PHC Gurmana","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-02-27","HBNDV","Gurmana","Gurmana","public",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health","1393344594194.jpg","10.06373362 6.73481443 340.5 5.0","076393ee-c671-48aa-a88a-8bba8189a827","niger","shiroro",NA,NA,10.06373362,6.73481443
"8","New Bussa Air Force Hospital","General Hospital",TRUE,TRUE,TRUE,8,TRUE,TRUE,TRUE,12,9,3,"2014-02-27","HMKRC","New Bussa","Bussa","public",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health","1393413811654.jpg","9.884406 4.49350769 217.6999969482422 5.0","29d22cec-60d7-4815-ab5d-1aa10c949670","niger","borgu",NA,NA,9.884406,4.49350769
"9","F H C N/ M C H , New Bussa","Basic Health Centre / Primary Health Clinic",TRUE,TRUE,TRUE,2,TRUE,FALSE,TRUE,2,2,2,"2014-02-27","HACJM","New Bussa","Bussa","public",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"health","1393422439938.jpg","9.88416281 4.51122306 228.5 5.0","679d439d-628b-460b-ac91-4185a6facabc","niger","borgu",NA,NA,9.88416281,4.51122306
"10","Albarka Clinic, Wawa","Basic Health Centre / Primary Health Clinic",TRUE,TRUE,TRUE,2,TRUE,TRUE,FALSE,3,2,1,"2014-02-27","HUOZD","Kale","Wawa","private",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health","1393256684207.jpg","9.90866331 4.41177063 300.29998779296875 5.0","c40a82b9-f075-4436-b12d-3d6dcaba38d0","niger","borgu",NA,NA,9.90866331,4.41177063
"11","Hope Clinic and Maternity,Gbere","Basic Health Centre / Primary Health Clinic",TRUE,TRUE,TRUE,1,TRUE,TRUE,FALSE,2,4,1,"2014-02-27","HTNTC","Gbere","Wawa","private",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health","1393256048875.jpg","9.91117258 4.40596897 298.5 5.0","ffbdd35e-6a5d-41ac-a544-c0523a094e16","niger","borgu",NA,NA,9.91117258,4.40596897
"12","BHC Erena","Primary Health Centre (PHC)",TRUE,FALSE,TRUE,7,TRUE,FALSE,TRUE,0,4,0,"2014-02-24","HBZYA","Erena","Erena","public",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"health","1325444820782.jpg","10.08769782 6.73523108 316.0 5.0","70d5bb40-d797-4b05-9eae-c1314a9065c7","niger","shiroro",NA,NA,10.08769782,6.73523108
"13","GBADAGBADZU HEALTH POST","Health Post",TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,0,0,"2014-05-30","HRJGU","GBADAGBADZU","BUSU","public",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1397390763858.jpg","9.05250071 5.96596079 214.10000610351563 5.0","968d6b83-b1c5-4dcd-9c51-82f5d68a86b4","niger","lavun",NA,NA,9.05250071,5.96596079
"14","Skin Clinic and Maternity, New Bussa","Basic Health Centre / Primary Health Clinic",TRUE,TRUE,TRUE,2,TRUE,FALSE,TRUE,2,3,1,"2014-02-27","HXFSP","New Bussa","Bussa","private",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health","1393421909633.jpg","9.88633194 4.50797569 234.39999389648438 5.0","8bb7cbcf-e2f4-4df1-8cc0-d360b4c4ec6f","niger","borgu",NA,NA,9.88633194,4.50797569
